192.168.99.128 - - [30/Jul/2020:11:33:50 -0400] "HEAD / HTTP/1.1" 200 0 "-" "curl/7.47.0"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
192.168.99.128 - - [30/Jul/2020:11:34:18 -0400] "GET /index.html HTTP/1.0" 200 612 "-" "ApacheBench/2.3"
